path,id,cam,color,type
VeRi\image_query\0065_c006_00061310_0.jpg,65,6,green,bus
VeRi\image_query\0065_c008_00059930_0.jpg,65,8,green,bus
VeRi\image_query\0065_c009_00059990_0.jpg,65,9,green,bus
VeRi\image_query\0065_c010_00061240_0.jpg,65,10,green,bus
VeRi\image_query\0065_c011_00061315_0.jpg,65,11,green,bus
VeRi\image_query\0065_c012_00065115_0.jpg,65,12,green,bus
VeRi\image_query\0065_c013_00064960_0.jpg,65,13,green,bus
VeRi\image_query\0065_c014_00067520_0.jpg,65,14,green,bus
VeRi\image_query\0065_c015_00067315_0.jpg,65,15,green,bus
VeRi\image_query\0065_c016_00068390_0.jpg,65,16,green,bus
VeRi\image_query\0065_c017_00065800_0.jpg,65,17,green,bus
VeRi\image_query\0065_c019_00066085_0.jpg,65,19,green,bus
VeRi\image_query\0066_c001_00059990_0.jpg,66,1,green,bus
VeRi\image_query\0066_c012_00059110_0.jpg,66,12,green,bus
VeRi\image_query\0066_c013_00059200_0.jpg,66,13,green,bus
VeRi\image_query\0066_c014_00056825_0.jpg,66,14,green,bus
VeRi\image_query\0066_c015_00057085_0.jpg,66,15,green,bus
VeRi\image_query\0066_c016_00055450_0.jpg,66,16,green,bus
VeRi\image_query\0066_c017_00058360_0.jpg,66,17,green,bus
VeRi\image_query\0066_c019_00058085_0.jpg,66,19,green,bus
VeRi\image_query\0074_c002_00000395_1.jpg,74,2,gray,pickup
VeRi\image_query\0074_c003_00001800_0.jpg,74,3,gray,pickup
VeRi\image_query\0074_c004_00001730_0.jpg,74,4,gray,pickup
VeRi\image_query\0074_c006_00001085_0.jpg,74,6,gray,pickup
VeRi\image_query\0074_c010_00001190_0.jpg,74,10,gray,pickup
VeRi\image_query\0074_c011_00001005_0.jpg,74,11,gray,pickup
VeRi\image_query\0074_c014_00085690_0.jpg,74,14,gray,pickup
VeRi\image_query\0074_c015_00085800_0.jpg,74,15,gray,pickup
VeRi\image_query\0074_c016_00085490_0.jpg,74,16,gray,pickup
VeRi\image_query\0086_c001_00079320_0.jpg,86,1,gray,pickup
VeRi\image_query\0086_c012_00080055_0.jpg,86,12,gray,pickup
VeRi\image_query\0086_c013_00079895_0.jpg,86,13,gray,pickup
VeRi\image_query\0086_c014_00081915_0.jpg,86,14,gray,pickup
VeRi\image_query\0086_c015_00081770_0.jpg,86,15,gray,pickup
VeRi\image_query\0086_c016_00082225_0.jpg,86,16,gray,pickup
VeRi\image_query\0086_c017_00080725_0.jpg,86,17,gray,pickup
VeRi\image_query\0086_c019_00080940_0.jpg,86,19,gray,pickup
VeRi\image_query\0089_c005_00058765_0.jpg,89,5,green,pickup
VeRi\image_query\0089_c007_00058930_0.jpg,89,7,green,pickup
VeRi\image_query\0090_c003_00078485_1.jpg,90,3,green,pickup
VeRi\image_query\0090_c004_00078395_0.jpg,90,4,green,pickup
VeRi\image_query\0090_c009_00078245_0.jpg,90,9,green,pickup
VeRi\image_query\0096_c005_00030530_0.jpg,96,5,green,pickup
VeRi\image_query\0096_c007_00030630_0.jpg,96,7,green,pickup
VeRi\image_query\0096_c012_00025270_1.jpg,96,12,green,pickup
VeRi\image_query\0096_c013_00025120_0.jpg,96,13,green,pickup
VeRi\image_query\0096_c014_00026795_0.jpg,96,14,green,pickup
VeRi\image_query\0096_c015_00026665_0.jpg,96,15,green,pickup
VeRi\image_query\0096_c016_00027015_0.jpg,96,16,green,pickup
VeRi\image_query\0096_c019_00026150_0.jpg,96,19,green,pickup
VeRi\image_query\0101_c001_00043680_0.jpg,101,1,green,pickup
VeRi\image_query\0101_c012_00044145_0.jpg,101,12,green,pickup
VeRi\image_query\0101_c013_00044035_0.jpg,101,13,green,pickup
VeRi\image_query\0101_c014_00045815_0.jpg,101,14,green,pickup
VeRi\image_query\0101_c015_00045615_0.jpg,101,15,green,pickup
VeRi\image_query\0101_c016_00047300_0.jpg,101,16,green,pickup
VeRi\image_query\0101_c017_00044765_1.jpg,101,17,green,pickup
VeRi\image_query\0102_c001_00008215_0.jpg,102,1,green,pickup
VeRi\image_query\0102_c012_00007880_0.jpg,102,12,green,pickup
VeRi\image_query\0102_c013_00007965_0.jpg,102,13,green,pickup
VeRi\image_query\0102_c014_00005435_0.jpg,102,14,green,pickup
VeRi\image_query\0102_c015_00005535_0.jpg,102,15,green,pickup
VeRi\image_query\0102_c016_00010770_0.jpg,102,16,green,pickup
VeRi\image_query\0102_c017_00006970_1.jpg,102,17,green,pickup
VeRi\image_query\0102_c019_00006590_0.jpg,102,19,green,pickup
VeRi\image_query\0104_c001_00021440_0.jpg,104,1,green,pickup
VeRi\image_query\0104_c002_00019700_1.jpg,104,2,green,pickup
VeRi\image_query\0104_c003_00016995_0.jpg,104,3,green,pickup
VeRi\image_query\0104_c004_00016940_0.jpg,104,4,green,pickup
VeRi\image_query\0104_c006_00017875_1.jpg,104,6,green,pickup
VeRi\image_query\0104_c010_00017790_0.jpg,104,10,green,pickup
VeRi\image_query\0104_c011_00017820_1.jpg,104,11,green,pickup
VeRi\image_query\0104_c013_00021685_0.jpg,104,13,green,pickup
VeRi\image_query\0104_c018_00022470_0.jpg,104,18,green,pickup
VeRi\image_query\0105_c014_00069950_0.jpg,105,14,green,pickup
VeRi\image_query\0105_c015_00069955_0.jpg,105,15,green,pickup
VeRi\image_query\0105_c016_00069670_0.jpg,105,16,green,pickup
VeRi\image_query\0106_c014_00015900_0.jpg,106,14,green,pickup
VeRi\image_query\0106_c015_00015940_0.jpg,106,15,green,pickup
VeRi\image_query\0106_c016_00015635_0.jpg,106,16,green,pickup
VeRi\image_query\0106_c017_00018825_0.jpg,106,17,green,pickup
VeRi\image_query\0106_c019_00018530_0.jpg,106,19,green,pickup
VeRi\image_query\0108_c002_00075460_1.jpg,108,2,green,pickup
VeRi\image_query\0108_c003_00077570_0.jpg,108,3,green,pickup
VeRi\image_query\0108_c004_00077550_0.jpg,108,4,green,pickup
VeRi\image_query\0108_c005_00078200_0.jpg,108,5,green,pickup
VeRi\image_query\0108_c006_00076755_1.jpg,108,6,green,pickup
VeRi\image_query\0108_c007_00078265_0.jpg,108,7,green,pickup
VeRi\image_query\0108_c008_00077790_0.jpg,108,8,green,pickup
VeRi\image_query\0108_c009_00077755_0.jpg,108,9,green,pickup
VeRi\image_query\0108_c010_00076940_0.jpg,108,10,green,pickup
VeRi\image_query\0108_c011_00076760_1.jpg,108,11,green,pickup
VeRi\image_query\0110_c001_00018880_0.jpg,110,1,green,pickup
VeRi\image_query\0110_c002_00019620_0.jpg,110,2,green,pickup
VeRi\image_query\0110_c003_00022520_1.jpg,110,3,green,pickup
VeRi\image_query\0110_c004_00022495_0.jpg,110,4,green,pickup
VeRi\image_query\0110_c006_00021960_0.jpg,110,6,green,pickup
VeRi\image_query\0110_c008_00022735_0.jpg,110,8,green,pickup
VeRi\image_query\0110_c009_00022635_0.jpg,110,9,green,pickup
VeRi\image_query\0110_c010_00022075_0.jpg,110,10,green,pickup
VeRi\image_query\0110_c011_00021890_0.jpg,110,11,green,pickup
VeRi\image_query\0110_c012_00007700_0.jpg,110,12,green,pickup
VeRi\image_query\0113_c001_00080770_0.jpg,113,1,green,pickup
VeRi\image_query\0113_c002_00079195_1.jpg,113,2,green,pickup
VeRi\image_query\0113_c003_00076335_0.jpg,113,3,green,pickup
VeRi\image_query\0113_c004_00076225_0.jpg,113,4,green,pickup
VeRi\image_query\0113_c006_00076830_0.jpg,113,6,green,pickup
VeRi\image_query\0113_c008_00076115_0.jpg,113,8,green,pickup
VeRi\image_query\0113_c009_00076210_0.jpg,113,9,green,pickup
VeRi\image_query\0113_c010_00076760_1.jpg,113,10,green,pickup
VeRi\image_query\0113_c011_00076850_0.jpg,113,11,green,pickup
VeRi\image_query\0113_c012_00081255_0.jpg,113,12,green,pickup
VeRi\image_query\0113_c013_00081150_0.jpg,113,13,green,pickup
VeRi\image_query\0113_c017_00081820_0.jpg,113,17,green,pickup
VeRi\image_query\0113_c019_00081925_0.jpg,113,19,green,pickup
VeRi\image_query\0117_c001_00048665_0.jpg,117,1,gray,pickup
VeRi\image_query\0117_c012_00049160_0.jpg,117,12,gray,pickup
VeRi\image_query\0117_c013_00049010_0.jpg,117,13,gray,pickup
VeRi\image_query\0117_c014_00051035_0.jpg,117,14,gray,pickup
VeRi\image_query\0117_c015_00050805_0.jpg,117,15,gray,pickup
VeRi\image_query\0117_c016_00052565_0.jpg,117,16,gray,pickup
VeRi\image_query\0117_c017_00049775_0.jpg,117,17,gray,pickup
VeRi\image_query\0117_c019_00050015_0.jpg,117,19,gray,pickup
VeRi\image_query\0118_c001_00068830_0.jpg,118,1,yellow,truck
VeRi\image_query\0118_c002_00086265_0.jpg,118,2,yellow,truck
VeRi\image_query\0118_c003_00089040_1.jpg,118,3,yellow,truck
VeRi\image_query\0118_c004_00089005_0.jpg,118,4,yellow,truck
VeRi\image_query\0118_c005_00089810_1.jpg,118,5,yellow,truck
VeRi\image_query\0118_c006_00088190_1.jpg,118,6,yellow,truck
VeRi\image_query\0118_c007_00089905_0.jpg,118,7,yellow,truck
VeRi\image_query\0118_c008_00089315_1.jpg,118,8,yellow,truck
VeRi\image_query\0118_c009_00089270_0.jpg,118,9,yellow,truck
VeRi\image_query\0118_c010_00088410_0.jpg,118,10,yellow,truck
VeRi\image_query\0118_c011_00088230_1.jpg,118,11,yellow,truck
VeRi\image_query\0118_c012_00066905_0.jpg,118,12,yellow,truck
VeRi\image_query\0118_c013_00067000_0.jpg,118,13,yellow,truck
VeRi\image_query\0118_c014_00065420_0.jpg,118,14,yellow,truck
VeRi\image_query\0118_c015_00065420_0.jpg,118,15,yellow,truck
VeRi\image_query\0118_c016_00065230_0.jpg,118,16,yellow,truck
VeRi\image_query\0118_c017_00066255_0.jpg,118,17,yellow,truck
VeRi\image_query\0118_c019_00065995_1.jpg,118,19,yellow,truck
VeRi\image_query\0122_c001_00036500_0.jpg,122,1,blue,truck
VeRi\image_query\0122_c012_00036985_0.jpg,122,12,blue,truck
VeRi\image_query\0122_c013_00036865_0.jpg,122,13,blue,truck
VeRi\image_query\0122_c015_00038450_0.jpg,122,15,blue,truck
VeRi\image_query\0122_c016_00039735_0.jpg,122,16,blue,truck
VeRi\image_query\0122_c019_00037970_1.jpg,122,19,blue,truck
VeRi\image_query\0126_c001_00005395_0.jpg,126,1,white,truck
VeRi\image_query\0126_c002_00059155_0.jpg,126,2,white,truck
VeRi\image_query\0126_c003_00061005_1.jpg,126,3,white,truck
VeRi\image_query\0126_c004_00060980_0.jpg,126,4,white,truck
VeRi\image_query\0126_c005_00061745_1.jpg,126,5,white,truck
VeRi\image_query\0126_c006_00060265_0.jpg,126,6,white,truck
VeRi\image_query\0126_c007_00061840_0.jpg,126,7,white,truck
VeRi\image_query\0126_c008_00061250_0.jpg,126,8,white,truck
VeRi\image_query\0126_c009_00061190_0.jpg,126,9,white,truck
VeRi\image_query\0126_c010_00060400_0.jpg,126,10,white,truck
VeRi\image_query\0126_c011_00060250_0.jpg,126,11,white,truck
VeRi\image_query\0126_c012_00003945_0.jpg,126,12,white,truck
VeRi\image_query\0126_c013_00004060_0.jpg,126,13,white,truck
VeRi\image_query\0126_c014_00002490_1.jpg,126,14,white,truck
VeRi\image_query\0126_c016_00002265_0.jpg,126,16,white,truck
VeRi\image_query\0126_c017_00003330_1.jpg,126,17,white,truck
VeRi\image_query\0126_c019_00003130_0.jpg,126,19,white,truck
VeRi\image_query\0129_c014_00026710_1.jpg,129,14,white,truck
VeRi\image_query\0129_c015_00026705_1.jpg,129,15,white,truck
VeRi\image_query\0129_c017_00027580_0.jpg,129,17,white,truck
VeRi\image_query\0129_c019_00027405_0.jpg,129,19,white,truck
VeRi\image_query\0130_c003_00058575_1.jpg,130,3,white,truck
VeRi\image_query\0130_c004_00058560_1.jpg,130,4,white,truck
VeRi\image_query\0130_c005_00059430_0.jpg,130,5,white,truck
VeRi\image_query\0130_c007_00059550_0.jpg,130,7,white,truck
VeRi\image_query\0130_c008_00058880_0.jpg,130,8,white,truck
VeRi\image_query\0130_c009_00058810_0.jpg,130,9,white,truck
VeRi\image_query\0132_c001_00019750_0.jpg,132,1,white,truck
VeRi\image_query\0132_c012_00018355_0.jpg,132,12,white,truck
VeRi\image_query\0132_c013_00018475_0.jpg,132,13,white,truck
VeRi\image_query\0132_c014_00016320_0.jpg,132,14,white,truck
VeRi\image_query\0132_c015_00016420_0.jpg,132,15,white,truck
VeRi\image_query\0132_c016_00015950_1.jpg,132,16,white,truck
VeRi\image_query\0132_c017_00017675_0.jpg,132,17,white,truck
VeRi\image_query\0132_c019_00017370_0.jpg,132,19,white,truck
VeRi\image_query\0134_c001_00064795_1.jpg,134,1,white,truck
VeRi\image_query\0134_c002_00063575_0.jpg,134,2,white,truck
VeRi\image_query\0134_c003_00049335_0.jpg,134,3,white,truck
VeRi\image_query\0134_c004_00049285_0.jpg,134,4,white,truck
VeRi\image_query\0134_c005_00051340_0.jpg,134,5,white,truck
VeRi\image_query\0134_c006_00047550_1.jpg,134,6,white,truck
VeRi\image_query\0134_c007_00051615_0.jpg,134,7,white,truck
VeRi\image_query\0134_c008_00049955_0.jpg,134,8,white,truck
VeRi\image_query\0134_c009_00049775_0.jpg,134,9,white,truck
VeRi\image_query\0134_c010_00061445_0.jpg,134,10,white,truck
VeRi\image_query\0134_c011_00061670_0.jpg,134,11,white,truck
VeRi\image_query\0134_c012_00065940_0.jpg,134,12,white,truck
VeRi\image_query\0134_c013_00065515_0.jpg,134,13,white,truck
VeRi\image_query\0134_c014_00070330_0.jpg,134,14,white,truck
VeRi\image_query\0134_c015_00070000_1.jpg,134,15,white,truck
VeRi\image_query\0134_c016_00071425_0.jpg,134,16,white,truck
VeRi\image_query\0134_c017_00067610_0.jpg,134,17,white,truck
VeRi\image_query\0134_c019_00068345_0.jpg,134,19,white,truck
VeRi\image_query\0135_c001_00061845_0.jpg,135,1,white,truck
VeRi\image_query\0135_c002_00068195_1.jpg,135,2,white,truck
VeRi\image_query\0135_c003_00070150_0.jpg,135,3,white,truck
VeRi\image_query\0135_c004_00070135_0.jpg,135,4,white,truck
VeRi\image_query\0135_c005_00070830_0.jpg,135,5,white,truck
VeRi\image_query\0135_c006_00069415_0.jpg,135,6,white,truck
VeRi\image_query\0135_c007_00070935_0.jpg,135,7,white,truck
VeRi\image_query\0135_c008_00070415_0.jpg,135,8,white,truck
VeRi\image_query\0135_c009_00070340_0.jpg,135,9,white,truck
VeRi\image_query\0135_c010_00069590_1.jpg,135,10,white,truck
VeRi\image_query\0135_c011_00069430_0.jpg,135,11,white,truck
VeRi\image_query\0135_c012_00060335_0.jpg,135,12,white,truck
VeRi\image_query\0135_c013_00060430_0.jpg,135,13,white,truck
VeRi\image_query\0135_c014_00058310_1.jpg,135,14,white,truck
VeRi\image_query\0135_c015_00058375_0.jpg,135,15,white,truck
VeRi\image_query\0135_c016_00057900_0.jpg,135,16,white,truck
VeRi\image_query\0135_c017_00059590_0.jpg,135,17,white,truck
VeRi\image_query\0135_c019_00059320_0.jpg,135,19,white,truck
VeRi\image_query\0142_c014_00086485_0.jpg,142,14,white,truck
VeRi\image_query\0142_c015_00086515_0.jpg,142,15,white,truck
VeRi\image_query\0142_c016_00086325_0.jpg,142,16,white,truck
VeRi\image_query\0142_c017_00088125_0.jpg,142,17,white,truck
VeRi\image_query\0142_c019_00088350_0.jpg,142,19,white,truck
VeRi\image_query\0143_c001_00072350_0.jpg,143,1,white,truck
VeRi\image_query\0143_c012_00073035_0.jpg,143,12,white,truck
VeRi\image_query\0143_c013_00072830_0.jpg,143,13,white,truck
VeRi\image_query\0143_c014_00074735_0.jpg,143,14,white,truck
VeRi\image_query\0143_c015_00074530_0.jpg,143,15,white,truck
VeRi\image_query\0143_c016_00076535_0.jpg,143,16,white,truck
VeRi\image_query\0143_c017_00073710_0.jpg,143,17,white,truck
VeRi\image_query\0143_c019_00073915_0.jpg,143,19,white,truck
VeRi\image_query\0144_c001_00029300_0.jpg,144,1,white,truck
VeRi\image_query\0144_c012_00027240_0.jpg,144,12,white,truck
VeRi\image_query\0144_c013_00027420_0.jpg,144,13,white,truck
VeRi\image_query\0144_c014_00024350_0.jpg,144,14,white,truck
VeRi\image_query\0144_c015_00024580_0.jpg,144,15,white,truck
VeRi\image_query\0144_c017_00026280_0.jpg,144,17,white,truck
VeRi\image_query\0145_c014_00025420_0.jpg,145,14,white,truck
VeRi\image_query\0145_c015_00025300_0.jpg,145,15,white,truck
VeRi\image_query\0145_c016_00026460_1.jpg,145,16,white,truck
VeRi\image_query\0150_c001_00048515_0.jpg,150,1,white,truck
VeRi\image_query\0150_c012_00048975_0.jpg,150,12,white,truck
VeRi\image_query\0150_c013_00048845_0.jpg,150,13,white,truck
VeRi\image_query\0150_c014_00050980_0.jpg,150,14,white,truck
VeRi\image_query\0150_c015_00050780_0.jpg,150,15,white,truck
VeRi\image_query\0150_c017_00049560_2.jpg,150,17,white,truck
VeRi\image_query\0150_c019_00049885_1.jpg,150,19,white,truck
VeRi\image_query\0151_c001_00004585_0.jpg,151,1,white,truck
VeRi\image_query\0151_c002_00005015_0.jpg,151,2,white,truck
VeRi\image_query\0151_c003_00006420_0.jpg,151,3,white,truck
VeRi\image_query\0151_c004_00006390_0.jpg,151,4,white,truck
VeRi\image_query\0151_c005_00087425_0.jpg,151,5,white,truck
VeRi\image_query\0151_c006_00005730_0.jpg,151,6,white,truck
VeRi\image_query\0151_c007_00087570_0.jpg,151,7,white,truck
VeRi\image_query\0151_c008_00006650_0.jpg,151,8,white,truck
VeRi\image_query\0151_c009_00006530_0.jpg,151,9,white,truck
VeRi\image_query\0151_c010_00005835_1.jpg,151,10,white,truck
VeRi\image_query\0151_c011_00005670_0.jpg,151,11,white,truck
VeRi\image_query\0151_c012_00002630_0.jpg,151,12,white,truck
VeRi\image_query\0151_c013_00002700_1.jpg,151,13,white,truck
VeRi\image_query\0151_c015_00000890_0.jpg,151,15,white,truck
VeRi\image_query\0151_c016_00000325_0.jpg,151,16,white,truck
VeRi\image_query\0151_c017_00002085_0.jpg,151,17,white,truck
VeRi\image_query\0151_c019_00001850_0.jpg,151,19,white,truck
VeRi\image_query\0154_c001_00039250_0.jpg,154,1,red,truck
VeRi\image_query\0154_c012_00039640_0.jpg,154,12,red,truck
VeRi\image_query\0154_c013_00039540_1.jpg,154,13,red,truck
VeRi\image_query\0154_c014_00041025_0.jpg,154,14,red,truck
VeRi\image_query\0154_c015_00040885_0.jpg,154,15,red,truck
VeRi\image_query\0154_c016_00042110_0.jpg,154,16,red,truck
VeRi\image_query\0154_c017_00040080_1.jpg,154,17,red,truck
VeRi\image_query\0154_c019_00040335_0.jpg,154,19,red,truck
VeRi\image_query\0162_c003_00033265_0.jpg,162,3,gray,truck
VeRi\image_query\0162_c004_00033160_0.jpg,162,4,gray,truck
VeRi\image_query\0162_c008_00032930_0.jpg,162,8,gray,truck
VeRi\image_query\0162_c009_00033030_0.jpg,162,9,gray,truck
VeRi\image_query\0166_c001_00038230_0.jpg,166,1,gray,truck
VeRi\image_query\0166_c013_00037090_0.jpg,166,13,gray,truck
VeRi\image_query\0166_c014_00035220_0.jpg,166,14,gray,truck
VeRi\image_query\0166_c016_00034905_1.jpg,166,16,gray,truck
VeRi\image_query\0166_c017_00036360_0.jpg,166,17,gray,truck
VeRi\image_query\0172_c001_00085765_0.jpg,172,1,gray,truck
VeRi\image_query\0172_c002_00079590_0.jpg,172,2,gray,truck
VeRi\image_query\0172_c003_00078210_0.jpg,172,3,gray,truck
VeRi\image_query\0172_c004_00078125_0.jpg,172,4,gray,truck
VeRi\image_query\0172_c006_00078815_1.jpg,172,6,gray,truck
VeRi\image_query\0172_c010_00078820_0.jpg,172,10,gray,truck
VeRi\image_query\0172_c011_00078830_0.jpg,172,11,gray,truck
VeRi\image_query\0172_c012_00086365_0.jpg,172,12,gray,truck
VeRi\image_query\0172_c013_00086260_0.jpg,172,13,gray,truck
VeRi\image_query\0172_c017_00086965_1.jpg,172,17,gray,truck
VeRi\image_query\0172_c019_00087160_0.jpg,172,19,gray,truck
VeRi\image_query\0173_c001_00066750_0.jpg,173,1,gray,truck
VeRi\image_query\0173_c002_00065255_0.jpg,173,2,gray,truck
VeRi\image_query\0173_c012_00067450_0.jpg,173,12,gray,truck
VeRi\image_query\0173_c013_00067320_0.jpg,173,13,gray,truck
VeRi\image_query\0173_c014_00069295_1.jpg,173,14,gray,truck
VeRi\image_query\0173_c015_00069130_0.jpg,173,15,gray,truck
VeRi\image_query\0173_c016_00069640_0.jpg,173,16,gray,truck
VeRi\image_query\0173_c017_00068180_0.jpg,173,17,gray,truck
VeRi\image_query\0173_c019_00068445_0.jpg,173,19,gray,truck
VeRi\image_query\0174_c001_00040625_0.jpg,174,1,gray,truck
VeRi\image_query\0174_c002_00041080_2.jpg,174,2,gray,truck
VeRi\image_query\0174_c003_00043925_0.jpg,174,3,gray,truck
VeRi\image_query\0174_c004_00043935_0.jpg,174,4,gray,truck
VeRi\image_query\0174_c006_00043315_0.jpg,174,6,gray,truck
